musicname,musicurl
孤勇者 ,https://www.9ku.com/play/1234703.htm
听闻远方有你 ,https://www.9ku.com/play/1219032.htm
踏雪 ,https://www.9ku.com/play/1379392.htm
就忘了吧 ,https://www.9ku.com/play/1386245.htm
如愿 ,https://www.9ku.com/play/1218832.htm
碎银几两 ,https://www.9ku.com/play/1217839.htm
下潜 ,https://www.9ku.com/play/1235568.htm
还没有爱够 ,https://www.9ku.com/play/1385536.htm
作酒 ,https://www.9ku.com/play/1378638.htm
我看过 ,https://www.9ku.com/play/1006581.htm
听我说 ,https://www.9ku.com/play/1196644.htm
听闻远方有你 ,https://www.9ku.com/play/1097049.htm
孤城 ,https://www.9ku.com/play/1218833.htm
水星记 ,https://www.9ku.com/play/1010051.htm
半生雪 (学生改编版片段) ,https://www.9ku.com/play/1234808.htm
纵容 ,https://www.9ku.com/play/1048989.htm
渐暖 ,https://www.9ku.com/play/1379761.htm
red lips ,https://www.9ku.com/play/1006066.htm
一路生花 ,https://www.9ku.com/play/1219189.htm
要你管 ,https://www.9ku.com/play/1012725.htm
这世界那么多人 ,https://www.9ku.com/play/1191283.htm
She ,https://www.9ku.com/play/1129910.htm
绝对诱惑 ,https://www.9ku.com/play/1010194.htm
耍把戏 ,https://www.9ku.com/play/1387978.htm
Twinkle Twinkle (晚安 明天见) ,https://www.9ku.com/play/1379757.htm
月亮月亮你别走 ,https://www.9ku.com/play/1013603.htm
我的眼泪 你的战利品 ,https://www.9ku.com/play/1387722.htm
小风筝 ,https://www.9ku.com/play/1375387.htm
哥已不再是当年的哥 (DJ何鹏版) ,https://www.9ku.com/play/1376491.htm
狼人游戏 ,https://www.9ku.com/play/1218623.htm
踏山河 ,https://www.9ku.com/play/1012453.htm
致你 ,https://www.9ku.com/play/1217833.htm
哥已不再是当年的哥原唱完整版 ,https://www.9ku.com/play/1387281.htm
哥已不再是当年的哥原唱完整版 ,https://www.9ku.com/play/1387281.htm
没有自己的一个人 ,https://www.9ku.com/play/1387541.htm
唱给未来的自己 ,https://www.9ku.com/play/1379530.htm
感谢所有爱我的人 ,https://www.9ku.com/play/1012441.htm
我是如此相信 ,https://www.9ku.com/play/1010350.htm
如故 ,https://www.9ku.com/play/1217858.htm
如风吹过 ,https://www.9ku.com/play/1379528.htm
江湖大北京 ,https://www.9ku.com/play/1379529.htm
祝你新年快乐 ,https://www.9ku.com/play/1379525.htm
太想念 ,https://www.9ku.com/play/1387660.htm
飞鸟和蝉 ,https://www.9ku.com/play/1006548.htm
三生石下 ,https://www.9ku.com/play/1012191.htm
mojito ,https://www.9ku.com/play/1010008.htm
别知己 ,https://www.9ku.com/play/1010006.htm
如果爱还在 ,https://www.9ku.com/play/1182638.htm
不能说的秘密 ,https://www.9ku.com/play/1170396.htm
等你三千年 ,https://www.9ku.com/play/1010261.htm
西海情歌 刀郎 原唱完整版 ,https://www.9ku.com/play/1387284.htm
西海情歌 刀郎 原唱完整版 ,https://www.9ku.com/play/1387284.htm
西海情歌 刀郎 原唱完整版 ,https://www.9ku.com/play/1387284.htm
能不能给我一首歌的时间 ,https://www.9ku.com/play/1012390.htm
一路向北周杰伦 ,https://www.9ku.com/play/1010489.htm
总以为来日方长 ,https://www.9ku.com/play/1387661.htm
烟花易冷（钢琴版） ,https://www.9ku.com/play/1088681.htm
删了吧 ,https://www.9ku.com/play/1234749.htm
龙拳 (Live) ,https://www.9ku.com/play/1022474.htm
人世间 ,https://www.9ku.com/play/1379810.htm
说好的幸福呢＋淘汰＋青花瓷 ,https://www.9ku.com/play/1054978.htm
想你的时候问月亮 ,https://www.9ku.com/play/1052376.htm
吓老鼠的猫叫声mp3超声波驱鼠器 ,https://www.9ku.com/play/1386753.htm
在阳光下等你 ,https://www.9ku.com/play/1387625.htm
安静周杰伦 ,https://www.9ku.com/play/1012317.htm
父亲 ,https://www.9ku.com/play/1020155.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
草原之夜原唱完整版 ,https://www.9ku.com/play/1387342.htm
鸿雁 ,https://www.9ku.com/play/1208554.htm
你的万水千山 ,https://www.9ku.com/play/1010009.htm
万恩千爱 ,https://www.9ku.com/play/1010735.htm
送亲 ,https://www.9ku.com/play/1019153.htm
月亮你别睡 ,https://www.9ku.com/play/1013889.htm
不过人间 ,https://www.9ku.com/play/1010484.htm
佛灯 ,https://www.9ku.com/play/1019152.htm
那一天 ,https://www.9ku.com/play/1021938.htm
站着等你三千年 ,https://www.9ku.com/play/1019159.htm
故乡的歌谣 ,https://www.9ku.com/play/1013527.htm
军港之夜 ,https://www.9ku.com/play/1050827.htm
鬼迷心窍原唱完整版 ,https://www.9ku.com/play/1387359.htm
鬼迷心窍原唱完整版 ,https://www.9ku.com/play/1387359.htm
鬼迷心窍原唱完整版 ,https://www.9ku.com/play/1387359.htm
鬼迷心窍原唱完整版 ,https://www.9ku.com/play/1387359.htm
鬼迷心窍原唱完整版 ,https://www.9ku.com/play/1387359.htm
鬼迷心窍原唱完整版 ,https://www.9ku.com/play/1387359.htm
鬼迷心窍原唱完整版 ,https://www.9ku.com/play/1387359.htm
夜夜夜漫长 ,https://www.9ku.com/play/1015906.htm
王琪送亲 ,https://www.9ku.com/play/1010895.htm
我爱你塞北的雪 ,https://www.9ku.com/play/1171078.htm
五十年以后 ,https://www.9ku.com/play/1219191.htm
星辰大海 ,https://www.9ku.com/play/1014985.htm
光的方向 ,https://www.9ku.com/play/1130156.htm
三生石下原唱完整版 ,https://www.9ku.com/play/1387280.htm
塞北的雪 ,https://www.9ku.com/play/1128089.htm
半生雪 ,https://www.9ku.com/play/1234810.htm
不甘 ,https://www.9ku.com/play/1387733.htm
万疆 ,https://www.9ku.com/play/1197161.htm
一路生花 ,https://www.9ku.com/play/1236346.htm
祝酒歌 ,https://www.9ku.com/play/1050832.htm
一壶天涯 ,https://www.9ku.com/play/1096850.htm
降央卓玛歌曲 ,https://www.9ku.com/play/1214726.htm
我是你的格桑花 ,https://www.9ku.com/play/1014107.htm
心中的高原 ,https://www.9ku.com/play/1066562.htm
同心(《祝卿好》影视剧插曲) ,https://www.9ku.com/play/1387686.htm
我在可可托海等你 ,https://www.9ku.com/play/1012256.htm
十送红军 ,https://www.9ku.com/play/1083791.htm
酒醉的蝴蝶dj ,https://www.9ku.com/play/1010093.htm
作酒 (DJ默涵版) ,https://www.9ku.com/play/1378639.htm
心中的雪莲 ,https://www.9ku.com/play/1171087.htm
账号已注销 ,https://www.9ku.com/play/1383812.htm
浪子闲话 ,https://www.9ku.com/play/1011834.htm
独到 ,https://www.9ku.com/play/1387976.htm
可惜我们 ,https://www.9ku.com/play/1387545.htm
不过人间DJ ,https://www.9ku.com/play/1012000.htm
别知己原唱完整版 ,https://www.9ku.com/play/1387290.htm
别知己原唱完整版 ,https://www.9ku.com/play/1387290.htm
人间烟火 ,https://www.9ku.com/play/1386069.htm
映山红 ,https://www.9ku.com/play/1050836.htm
错位时空 ,https://www.9ku.com/play/1060864.htm
月亮月亮你别睡原唱 ,https://www.9ku.com/play/1387402.htm
月亮月亮你别睡原唱 ,https://www.9ku.com/play/1387402.htm
月亮月亮你别睡原唱 ,https://www.9ku.com/play/1387402.htm
泪蛋蛋掉在酒杯里 ,https://www.9ku.com/play/1012035.htm
我的万水千山 ,https://www.9ku.com/play/1011017.htm
三国恋 ,https://www.9ku.com/play/1185227.htm
