name,piaofang
阿凡达,"2,847,246,203"
复仇者联盟4：终局之战,"2,797,501,328"
泰坦尼克号,"2,201,647,264"
星球大战：原力觉醒,"2,069,521,700"
复仇者联盟3：无限战争,"2,048,359,754"
蜘蛛侠：英雄无归,"1,892,667,830"
侏罗纪世界,"1,670,516,444"
狮子王,"1,662,899,439"
复仇者联盟,"1,518,815,515"
速度与激情7,"1,515,341,399"
冰雪奇缘2,"1,450,026,933"
复仇者联盟2：奥创纪元,"1,402,809,540"
黑豹,"1,347,597,973"
哈利・波特与死亡圣器（下）,"1,342,321,665"
星球大战8：最后的绝地武士,"1,332,698,830"
侏罗纪世界2,"1,310,466,296"
冰雪奇缘,"1,281,508,100"
美女与野兽,"1,273,576,220"
超人总动员2,"1,243,089,244"
速度与激情8,"1,236,005,118"
钢铁侠3,"1,214,811,252"
小黄人大眼萌,"1,159,444,662"
美国队长3：英雄内战,"1,153,337,496"
海王,"1,148,485,886"
指环王3：王者归来,"1,146,030,912"
蜘蛛侠：英雄远征,"1,131,927,996"
惊奇队长,"1,128,462,972"
变形金刚3：月黑之时,"1,123,794,079"
007：大破天幕杀机,"1,108,569,499"
变形金刚4：绝迹重生,"1,104,054,072"
蝙蝠侠：黑暗骑士崛起,"1,081,142,612"
小丑,"1,074,419,384"
星球大战9：天行者崛起,"1,074,149,279"
玩具总动员4,"1,073,394,593"
玩具总动员3,"1,066,970,811"
加勒比海盗2：聚魂棺,"1,066,179,747"
狮子王,"1,063,611,805"
星球大战外传：侠盗一号,"1,056,057,720"
阿拉丁,"1,050,693,953"
加勒比海盗4：惊涛怪浪,"1,045,713,802"
神偷奶爸3,"1,034,800,131"
侏罗纪公园,"1,033,928,303"
海底总动员2：多莉去哪儿,"1,028,570,942"
星球大战前传1：幽灵的威胁,"1,027,082,707"
爱丽丝梦游仙境,"1,025,468,216"
疯狂动物城,"1,024,121,104"
哈利・波特与魔法石,"1,017,662,278"
霍比特人1：意外之旅,"1,017,003,568"
蝙蝠侠：黑暗骑士,"1,005,973,645"
哈利・波特与死亡圣器（上）,"977,043,483"
神偷奶爸2,"970,766,005"
奇幻森林,"966,554,929"
勇敢者游戏：决战丛林,"962,542,945"
霍比特人3：五军之战,"962,182,865"
加勒比海盗3：世界的尽头,"960,996,492"
霍比特人2：史矛革之战,"959,007,513"
指环王2：双塔奇兵,"947,495,095"
哈利・波特与凤凰社,"942,172,396"
海底总动员,"940,352,645"
哈利・波特与混血王子,"934,454,096"
怪物史瑞克2,"928,760,770"
波西米亚狂想曲,"910,809,311"
指环王1：魔戒再现,"898,094,742"
哈利・波特与火焰杯,"896,678,241"
蜘蛛侠3,"894,983,373"
冰川时代3：恐龙的黎明,"886,686,817"
007：幽灵党,"880,681,519"
蜘蛛侠：英雄归来,"880,166,924"
哈利・波特与密室,"879,602,366"
冰川时代4：大陆漂移,"877,244,782"
爱宠大机密,"875,458,631"
蝙蝠侠大战超人：正义黎明,"873,637,528"
星球大战前传3：西斯的复仇,"868,390,560"
饥饿游戏2：星火燎原,"865,011,746"
银河护卫队2,"863,756,051"
头脑特工队,"858,848,019"
毒液：致命守护者,"856,085,151"
雷神3：诸神黄昏,"853,983,911"
盗梦空间,"836,836,967"
变形金刚2：卷土重来,"836,303,693"
暮光之城4：破晓（下）,"829,747,654"
蜘蛛侠,"825,025,036"
神奇女侠,"822,824,522"
你好，李焕英,"822,009,764"
独立日,"817,400,891"
神奇动物在哪里,"814,044,001"
怪物史瑞克3,"813,367,380"
寻梦环游记,"807,817,888"
勇敢者游戏2：再战巅峰,"800,059,707"
哈利・波特与阿兹卡班的囚徒,"797,361,618"
加勒比海盗5：死无对证,"794,881,442"
E.T.外星人,"792,910,554"
碟中谍6：全面瓦解,"791,657,398"
2012,"791,217,826"
夺宝奇兵4,"790,653,942"
蜘蛛侠2,"788,976,453"
速度与激情6,"788,680,968"
死侍2,"785,896,609"
